question;reponse;reponse
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;26;je souhaite prendre un rdv
Vous n'avez répondu à aucun sms, si tout va bien répondez TVB, sinon répondez AID;59;Bonjour et Toutes mes excuses   TVB Cordialement  John Fahy
Merci de votre réponse.  Si vous avez un commentaire, mettez le dans un 2eme SMS;102;Merci à tous accueil, personnel soignant et chirurgienne. Tout s est très bien passé et bien expliqué.
En cas de problème vous pouvez appeler le numéro indiqué sur le document lettre de liaison ;120;TVB j'ai découvert un établissement que je ne connaissais pas et j'en suis vraiment satisfait. Bonne journée John Mallot
Clinique Jane : Suite à votre examen si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;12;Tout va bien
Si votre température est supérieure à 38 ou si vous avez des saignements répondez simplement les 3 lettres OUI;37;Oui j'ai la fièvre et la douleur 5/10
HEGP endoscopie digestive : La présence d'un accompagnant est obligatoire pour votre sortie de l'hopital et la nuit suivant l'intervention;66;J'ai annulé par mail il y a plusieurs semaines l examen B Berliner
John Debré : évaluer votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas du tout satisfait 10: très satisfait);78;Bonjour  Merci beaucoup.  Riddhima, tout va bien. elle est maintenant normale.
Si vous êtes équipé d'un cathéter périnerveux au niveau du membre supérieur répondez SUP, du membre inférieur répondez INF, sinon ne répondez pas à ce message;78;a ajouté un « Jaime » à « Hopital Sainte-Jane: suite à votre intervention,  ».
Merci de votre réponse. Pouvez-vous nous envoyer SEULEMENT un chiffre de 0 à 10. Si vous avez un commentaire, mettez le  dans un 2e SMS. Si vous avez mis un commentaire dans votre 1re réponse, inutile de le renvoyer.;19;Je vais mettre 8/10
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min.;36;Non maux d'estomac pas de traitement
Hopital Port Royal : En rapport avec votre intervention, avez-vous consulté votre médecin traitant ou les urgences depuis cette intervention ? Merci de répondre uniquement par OUI ou NON;64;Mon intervention est prévue pour le 21 juin avec le Pr Borghése.
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Avicenne ? (0 très peu probable; 10 très probable)";156;Bonjour j'ai une question, si j'ai droit au bon de transport pour ma visite du 18 juin 2024, si j'ai droit tiens moi informer pour que je m'organiser merci.
Hopital Jane Paré. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);52;C est encore un peu tôt pour moi , je dois attendre.
Bonjour, Pouvez-vous décrire vos symptômes en répondant à ce message ? Veuillez également contacter le secrétariat de votre chirurgien pour signaler votre état  En cas de Fièvre, toux, nez qui coule ou maux de tête  inexpliqués, faites dès que possible un Test Antigénique COVID en pharmacie (Pas d’auto test) et communiquez-nous le résultat dès que vous en avez pris connaissance par SMS. Demandez au pharmacien un justificatif papier de votre test Covid, vous apporterez le document le jour de votre intervention.  Merci d’avance, Les Infirmières de programmation;162;J'ai fait un test Antigénique qui est négatif. A la pharmacie on m'a remis un test papier que j'apporterais vendredi. Je tousse un peu mais je n'ai pas de fièvre.
Merci de votre réponse. Si vous avez un commentaire, mettez le dans un 2eme SMS;128;Le temps d'attente entre l'heure de la convocation et la prise en charge était long mais mis à part cela, tout s'est bien passé.
Si vous avez donné le traitement anti-douleur, répondez: PRIS, sinon donnez le maintenant et renvoyez nous une évaluation de sa douleur dans 45 minutes;14;En réanimation
Vous n'avez pas repondu, veuillez le faire maintenant svp si tout va bien repondez TVB, s'il a mal repondez DOUL, s'il indique un autre symptome repondez AID;12;Tout va bien
"Sur une échelle de 0 à 10, recommanderiez vous la Clinique Avicenne ? (0 très peu probable; 10 très probable)";71;Je recommande 10  Pour la qualité du service  Pour le professionnalisme
Hopital Saint John: Suite à votre intervention, si tout va bien répondez TVB;31;TVB et merci pour vôtre accueil
Hopital Lariboisière : Votre opération est prévue le **/date_demarrage_date**/. Si vous avez un empechement ou un problème de santé, ou si vous n'avez pas eu de consultation d'anesthésie, répondez ALERTE. Nous vous enverrons l'heure de convocation la veille. Un accompagnant est OBLIGATOIRE pour votre sortie. SI cela vous a été indiqué il devra rester avec vous la 1re nuit à la maison;88;Je suis en ambulatoire.j'ai déja eu 2 foîs cet opéra-  tion.on ne ma jamais de-mandé ça.
Nous vous souhaitons un bon rétablissement. N'oubliez pas le RDV post-opératoire;14;Merci beaucoup
Hopital Avicenne : Afin d'améliorer la qualité de notre prise en charge, indiquez votre satisfaction sur une échelle de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);357;Je suis entiérement satisfaite de l' intervention mais par contre j'ai le bras  bleu car on ma piqué 4 fois pour me poser le cathéter,3 fois de trop comme l'a dit le chirurgien. Je suis d'accord pour  que les éléves apprennent mais me poser un cathéter sans refux sanguin. Heureusement une infirmiére diplômée est intervenue.Note de 5 sur 10 en conséquence.
Merci de votre réponse. Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 avant 17h. En cas de problème médical, en dehors de ces horaires, le weekend, et jours fériés, contactez les urgences du service au 01.00.00.00.00;17;Ok merci beaucoup
Hopital Cochin  Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le  dans un 2e SMS;439;Bonjour, J'ai déjà envoyé un message de satisfaction hier. Tout est parfait.  Je suis suivi par votre unité depuis 1976.  Premiére greffe, oeil droit, en 1980 (Dr Lefrançois) et deuxiéme, oeil gauche, en 2007 (Professeurs Monnet et Bourges) et ce Lundi, cataracte, oeil droit, par le Pr Bourges.  Vous voyez que je vous connais de longue date et vous apprécie pour vos bons soins et votre accueil chaleureux.  Amicalement ... John Aussourd
Suite à votre intervention à l'hopital John Roux, si tout va bien répondez dès que possible TVB;27;TVB  Merci pour votre suivi
Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 17h30 en semaine. En dehors de ces horaires, et le week-end et jours fériés, consultez le passeport ambulatoire;38;Bonjour aujourd'hui tout va bien merci
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);21;Extrêmement satisfait
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2.  Si vous avez fait votre pré-admission, répondez FAIT. Sinon faites-la aujourd'hui : https://example.com Répondez FAIT quand vous l'aurez faite;121;Bonjour je viens vous voir Lundi pour faire la pré-admisson.. je ne sais pas la faire part internet et la je suis à Dijon
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;17;Mr Ledru a décédé
"Evaluez votre douleur sur une échelle de 0 à 10 (0 : pas de douleur ; 10 : douleur insupportable) et envoyez simplement un chiffre";53;TVB avec un peu de fatigue mais pas de douleur  Merci
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB sinon répondez AID;30;Je vous remercie, tout va bien
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);17;Satisfait 9 merci
Suite à votre intervention, si vous n'avez eu ni douleur, ni hématome, ni fièvre, ni essoufflement anormal, répondez TVB;19;Et un peu essoufflé
Si tout va bien répondez dès que possible TVB. Nous vous rappelons que pour toute question ou problème, vous pouvez nous appeler au 01.00.00.00.00 de 08:00 à 18:00 du lundi au vendredi. Pour tout problème médical urgent vous pouvez appeler un de nos médecins au 01.00.00.00.00 ou vous présenter aux urgences.;12;Tout va bien
Nous vous rappelons que pour toute question ou problème, vous pouvez nous appeler au 01.00.00.00.00 de 08:00 à 18:00 du lundi au vendredi. Pour tout problème médical urgent vous pouvez appeler un de nos médecins au 01.00.00.00.00 ou vous présenter aux urgences. Si tout va bien répondez dès que possible TVB;31;Bonjour, oui tout va bien merci
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;34;TVB pour le moment. Bonne journée.
CHU John Jane : Suite à votre intervention au sein de l'unité de chirurgie ambulatoire : si tout va bien, répondez TVB, sinon répondez AID;25;Ok sa vas bien duval John
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;57;Extrêmement satisfait personnels hospitalier au top merci
Toutes les informations pour la préparation de votre enfant : https://example.com ;11;Sans viande
Merci de votre réponse et bon rétablissement. N'oubliez-pas votre RDV de suivi post-opératoire.;24;MERCI A VOUS BON COURAGE
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à  polyclinique d'Hénin-Beaumont ? Merci de répondre un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait).;20;10 ,très satisfaite.
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;19;10 trés satisfait e
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);39;8 Attente un peu longue. Accueil super.
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;19;D'accord, j'y serai
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);30;10 mais 5h d'attente trop long
CH Chartres: si tout va bien répondez TVB, sinon répondez AID ;153;L'infirmière vient de passer, elle a dit qu'il y avait un peu trop de sang, les mèches étaient très imbibées de sang. Elle m'a dit qu'il faut surveiller.
Clinique Jane : Suite à votre examen si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;17;TVB John LANDRIEU
Nous vous souhaitons un bon rétablissement. N'oubliez pas le RDV post-opératoire;256;Ma fille Jane, qui etait inquiete de l'intervention, s'est sentie tres bien accompagnee, avec beaucoup de bienveillance. Merci à toute l'équipe !!  C'est aussi rassurant de se sentir accompagnés dans les suites operatoires, via ces petits messages. Mme doe
Hopital Jane Paré. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);48;Extrêmement satisfaite 10 merci a toute l'équipe
Merci de votre réponse. Pour toute question vous pouvez appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 19h en semaine. En dehors de ces horaires, le week-end et jours fériés, consultez le passeport ambulatoire. Pour évaluer votre satisfaction, vous allez recevoir un questionnaire par mail de la HAS. Votre avis est précieux. Merci d'y répondre;27;Je comprends merci beaucoup
Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 14h à 16h30;23;D'accord merci beaucoup
"Evaluez votre douleur sur une échelle de 0 à 10 (0 : pas de douleur ; 10 : douleur insupportable)";44;5/10 le problème il peut pas ouvrire sa main
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2.  Si vous avez fait votre pré-admission, répondez FAIT. Sinon faites-la aujourd'hui : https://example.com Répondez FAIT quand vous l'aurez faite;58;Report de l'intervention au 25 septembre convenu avec vous
Si vous avez consulté un médecin généraliste ou spécialiste ou etes venu aux Urgences de facon non prévue suite à votre intervention, répondez MED;18;PAS MED TT VA BIEN
Hopital Jane Paré. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);9;10!!!ð
Hopital Jane Paré. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);15;10 ð ðïž
Nous vous attendons au service d'imagerie médicale de l'hopital John Mondor Niveau El, 1sous-sol, ascenseurs jaunes ou bleus le **/date_demarrage_date**/ à **/convocation**/. Si vous ne pouvez pas venir à ce rendez-vous, répondez ALERTE;22;Oui je serai la  merci
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2.  Si vous avez fait votre pré-admission, répondez FAIT. Sinon faites-la aujourd'hui : https://example.com Répondez FAIT quand vous l'aurez faite;16;J'ai tout annulé
Suite à votre intervention, si vous n'avez eu ni douleur, ni hématome, ni fièvre, ni essoufflement anormal, répondez TVB;45;J'ai un peu étourdissement sinon tout va bien
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2.  Si vous avez fait votre pré-admission, répondez FAIT. Sinon faites-la aujourd'hui : https://example.com Répondez FAIT quand vous l'aurez faite;27;Je n'en ai pas besoin.merci
Hôpital John Mondor : Evaluez votre passage en cardiologie de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);12;10 trés bien
Merci de votre réponse. Pour toute question sur la suite de prise en charge : contactez directement le secrétariat de votre chirurgien. Si des symptômes apparaissent dans les 48 prochaines heures, vous pouvez joindre le service des urgences au 01.00.00.00.00;131;Je souhaite me plaindre d'un médecin de la clinique ainsi qu'aux conseils de l'ordre A qui dois-je écrire dans votre établissement.
CH Pau : Suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;24;AID pas dormi de la nuit
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);33;10 merci pour votre bienveillance
Pouvez-vous nous en donner la raison ?;40;Petite infection, cicatrice un peu rouge
Suite à votre intervention à l'Hopital Jane Paré, si tout va bien répondez TVB;206;Non. La paupiére de l'oeil opéré  avec un bouton rouge et enflé- l' oeil irrité. Je viens de passer à hôpital,Dr. Zhao n' est pas là on m'a dit de revenir à 13h30 pour consulter avec un autre médecin. Merci
Hopital Lariboisière : Evaluez votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);24;10 extrêmement satisfait
Hopital Lariboisière : Evaluez votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);22;Excrément satisfait 10
Clinique d'Argonay : Nous vous remercions de bien vouloir évaluer votre passage au sein de l'établissement sur une échelle de 0 à 5 (0 : pas du tout satisfait / 5 : extremement satisfait);98;5, merci beaucoup à toutes les personnes qui m'ont accompagnée le long de mon court séjour. Bravo!
Vous n'avez pas répondu, si tout va bien répondez TVB, si vous avez des douleurs sur votre œil, répondez DOUL;28;Bonjour, tout vas bien merci
Si vous ressentez de la douleur répondez DOUL, en cas de fièvre répondez FIE, en cas de nausées vomissements répondez NVO et en cas de saignements répondez SNG;47;Je ne répondrai pas à ce genre de communication
CHU de Tours, suite à votre intervention, si tout va bien répondez TVB;12;Tout va bien
CH de Chartres: Suite à votre intervention, si tout va bien (pas de douleur, pas de saignement, pas d'hématome) répondez TVB sinon AID. Si vous avez été hospitalisé à la suite de votre examen tapez MED;96;Je réponds Tvb. En ne sachant pas ce que veut dire AID et MED. Je ne suis pas bilingue...désolée
Chirurgie ambulatoire St John: Suite à votre intervention, si tout va bien répondez dès que possible TVB;13;TVB Merci !!!
Pourriez-vous nous en dire un peu plus en nous indiquant les raisons de votre insatisfaction svp ?;323;Bonjour, oui je suis arrivé à l' hôpital vers 7 heures 50 après avoir passé à l administration je suis monté en ambulatoire pour ma prise en charge j' ai du attendre jusqu'à 11 heures 45 pour entrer en salle d opération et après pas vu de médecin pour renseignements complémentaires sur ce que je dois pas faire où faire...
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;41;Prise en charge du manipulateur radio : 5
Pole de santé du Villeneuvois: suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;12;TVB Gdelbert
Hopital John Debré : Vous avez rendez-vous pour **/examen**/ en radiologie le **/date_demarrage**/. Pour confirmer votre RDV répondez 1. Pour annuler votre RDV répondez 2. Pour reporter ce RDV répondez 3;34;Pour le rendez-vous c'est confirmé
Si vous avez eu des nausées ou vomissements depuis la sortie indiquez l'heure (par exemple: 20H) sinon répondre NON;27;La douleur date de mai 2023
"Evaluez la douleur de votre enfant et répondez par un chiffre (0 = pas de douleur; 10 = douleur insupportable)";25;TVB 3/10 (sans Doliprane)
Merci de votre réponse. Pouvez-vous nous envoyer SEULEMENT un chiffre de 0 à 10. Si vous avez un commentaire, mettez le  dans un 2e SMS. Si vous avez fait un commentaire dans la première réponse, inutile de le renvoyer. Merci!;67;Note 10 bonne prise en charge du patient merci au personel soignant
Merci de votre réponse. Pour toute question ou problème, veuillez vous référer au chirurgien.;16;Ok bonne journée
Pouvez-vous nous en donner la raison ?;27;un hématome post-opératoire
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min;17;Dolipprànàne à 7h
Pontchaillou : Si vous avez mal dormi, répondez DOR;32;J'ai une question/ lavage du nez
Clinique Saint John de Dieu (01.00.00.00.00): Bonjour :-) dans le cadre du suivi de votre intervention, si tout va bien répondez TVB.;20;TVB  Merci pour tout
Clinique du Val d'ouest : Suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;28;TVB. Merci et bonne  journée
Clinique du Val d'ouest : Suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;11;Bonjour TVB
Pouvez-vous nous en donner la raison ?;104;Reprise de saignements abondants   douleurs pelviennes (que je n'avais pas en sortant de l'intervention)
Combien avez-vous pris de tramadol (prescrit ou auto médication) depuis la sortie du CHU? Répondez par un chiffre entre 0 et 4;20;2 hier et 1 ce matin
Merci de votre réponse. En cas de problème, vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 19h. En dehors de ces horaires, veuillez vous référer aux numéros de téléphones inscrit au dos du passeport ambulatoire;122;Bonjour, est-il possible d'avancer mon RV de contrôle avec le Pr Coscas prévu le 11 juillet ? Merci d'avance  P. Abravanel
Apportez vos radios et examens nécessaires à votre intervention. N'oubliez pas d'apporter tous les documents signés. Prenez vos médicaments selon les consignes recues.  Pour les enfants, n'oubliez pas le consentement signé des DEUX PARENTS.;72;VOUS VOUS TROMPE JE NE PASSE PAS UNE COLOSCOPIE J AI UNE CATARAC MME DOE
CH de Chartres: Suite à votre intervention, si tout va bien (pas de douleur, pas de saignement, pas d'hématome) répondez TVB sinon AID. Si vous avez été hospitalisé à la suite de votre examen tapez MED;23;TVB merci bonne journée
Etes-vous satisfait de votre prise en charge à l'Hopital Privé John Cartier ? Répondez un chiffre (1: pas du tout satisfait à 5: très satisfait);26;5 Très Satisfaction. Merci
Vous n'avez pas répondu, si tout va bien répondez TVB, si vous voyez moins bien qu'hier répondez VOI. En cas de sensation de douleur en coup de tonnerre ou d'œil dur répondez DUR;14;Vu mon mrdecin
John Mondor : Evaluez votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);24;10 extremement satisfait
Clinique Saint John de Dieu (01.00.00.00.00): Bonjour :-) dans le cadre du suivi de votre intervention, si tout va bien répondez TVB.;18;Tout va bien merci
Merci de votre réponse. Pour toute question ou problème vous référer au chirurgien;13;Parfait merci
Suite à votre intervention en chirurgie ambulatoire, si tout va bien répondez TVB sinon répondez AID;11;TVB...merci
Clinique Saint John de Dieu (01.00.00.00.00): Bonjour :-) dans le cadre du suivi de votre intervention, si tout va bien répondez TVB.;19;Tvb sang dans l'œil
Clinique du Val d'ouest : Suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;98;.je suis chez vs chambre 483 . J ' attend le médecin , pour partir . Allergie , gonflement gorge .
HPNL: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;16;Oui tout va bien
"Hopital de la Pitié Salpetrière : Evaluez de nouveau votre douleur sur une échelle de 0 à 10 (0 = pas de douleur; 10 = douleur insupportable)";52;1 par moment mais j'ai fait du ménage hier... Merci.
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00. Pour nous aider, pouvez-vous répondre au questions suivantes : Evaluez la douleur maximum ressentie depuis votre sortie (0 = pas de douleur et 10 = douleur insupportable);21;La douleur est de 1/2
Merci! Nous vous souhaitons un prompt rétablissement!;34;Merci et bonne journée à vous tous
Merci de votre réponse. Nous vous souhaitons une bonne convalescence;47;Merci c'est gentil de prendre de mes nouvelles.
Merci! Nous vous souhaitons un prompt rétablissement!;17;Merci à vous tous
Clinique Saint John de Dieu (01.00.00.00.00): Bonjour :-) dans le cadre du suivi de votre intervention, si tout va bien répondez TVB.;87;Je vois flou de l'oeil opéré pas de douleur petite rougeur. Je n'ai pas repris eliquis.
Suite à votre intervention à l'hopital John Roux, si tout va bien répondez dès que possible TVB;33;Tout non mais ça devrait le faire
Pouvez-vous nous en donner la raison ?;25;Renouvellement ordonnance
Clinique Les Martinets: suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;66;TVB   très bon accueil et approche très humaine au bloc opératoire
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min;37;Est-ce que je peux mettre de la glace
Suite à votre opération à l'UCA du Centre FX Michelet. Si tout va bien, répondez TVB;11;TVB , Merci
Au cours des 15 derniers jours, avez-vous eu un de ces signes: - Fièvre supérieure à 38 - Toux sèche - Mal de tete ou perte de l'odorat ou du gout - Diarrhée, vomissements ou mal de ventre - Douleurs musculaires Si vous avez un ou plusieurs de ces signes ou si au cours des 15 derniers jours, si vous avez été en contact avec une personne atteinte du Covid19, répondez uniquement COV;22;Je n'ai aucun symptôme
CH Valenciennes : Bonjour, suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;67;Tvb encore merci pour tout et à vous tous  Bon courage  Amicalement
Hopital de Dole, suite à votre intervention  si tout va bien répondez TVB, sinon répondez AID;151;Ça va je prends mes cachets le souci vous avez oublié de me donner un papier de d'entrée et de sortie et un papier quand je peux enlever les pansements
Au cours des 15 derniers jours, avez-vous eu un de ces signes: - Fièvre supérieure à 38 - Toux sèche - Mal de tete ou perte de l'odorat ou du gout - Diarrhée, vomissements ou mal de ventre - Douleurs musculaires Si vous avez un ou plusieurs de ces signes ou si au cours des 15 derniers jours, si vous avez été en contact avec une personne atteinte du Covid19, répondez uniquement COV;43;Non excusez moi, oui je reprendrais aux SMS
CHU de Tours, suite à votre intervention, si tout va bien répondez TVB;19;Pour le moment  tvb
Hopital Fondation Rothschild (Paris 19e) : Votre opération est prévue le **/date_intervention_date**/. En cas d'empechement ou de problème répondez ALERTE. En cas d'annulation, il est impératif de répondre pour permettre à un autre patient de bénéficier de ce créneau;102;OK pour ce jour le 26 courant.  Vous m'informerez de l'heure à laquelle je devrai être présente. MERCI
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;20;Trés satisfait merci
Hopital Privé John Cartier : Suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;20;TVB juste un peu mal
Suite à votre opération à l'UCA du Centre FX Michelet. Si tout va bien, répondez TVB;21;Tout va bien et merci
Clinique Mutualiste : Suite à votre intervention si tout va bien répondez TVB sinon répondez AID;23;TVB, merci ????????????
Hopital Saint John: suite à votre intervention, si tout va bien répondez TVB;18;TVB même trés bien
Bonjour, suite à votre dilatation des artères coronaires (angioplastie) à l'hopital Lariboisière, si vous n'avez pas été ré-hospitalisé depuis cette intervention, répondez TVB. Sinon, envoyez RPL. Merci pour votre confiance;11;Bonjour TVB
Suite à votre intervention à l'Hopital Jane Paré, si tout va bien répondez TVB;9;Trés bien
Merci pour votre réponse. Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 17h30 en semaine. En dehors de ces horaires, et le week-end et jours fériés, consultez le passeport ambulatoire;50;D'accord  merci beaucoup  passer une bonne journée
"Hopital de la Pitié Salpetrière : Evaluez de nouveau votre douleur sur une échelle de 0 à 10 (0 = pas de douleur; 10 = douleur insupportable)";28;Hier soir 7/10 ce matin 5/10
HPNL: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;27;TVB Merci Bien cordialement
Cette sensation est normale. Veuillez continuer les traitements prescrits. N'oubliez pas de vous présenter à votre rdv post-opératoire;33;Pouvez-vous me confirmer la date?
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;41;ou est le service de pneumologie à st >jo
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 07:00 à 20:00;10;Noté merci
Suite à votre examen à l'hopital Cochin, si tout va bien répondez dès que possible TVB;29;Non j'ai trés mal à l'estomac
Suite à votre examen à l'hopital Saint-John, si tout va bien répondez dès que possible TVB;149;Bonjour  Je vais très bien merci pour votre message ancore merci à toutes l'équipe  Vous avait était tous très bien bonne journée à tous  Cdlt Mr doe
Si cette douleur correspond à une sensation de grain qui roule ou de sable répondez SAB, sinon répondez AUT;182;Plus près du sable...mais une fois de plus c'est trop tôt pour être aussi tranché dans ma réponse. Je pleure quand j'ouvre l'œil, donc ma paupière reste fermée à environ 70% du temps
"Afin d'améliorer la qualité de notre prise en charge, dites-nous si vous etes satisfait du séjour de votre enfant en Chirurgie Ambulatoire à l'hopital Bicetre. Merci de répondre SEULEMENT un chiffre de 0 à 10 (0: pas satisfait du tout ; 10: extremement satisfait). Si vous le souhaitez, envoyez-nous un commentaire en envoyant un deuxième SMS";44;Toujours une équipe au top! Ne changez rien.
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez le maintenant et renvoyez une évaluation de votre douleur dans 45 min;16;douleur nocturne
Hopital de Croix Rousse : suite à votre intervention tout va bien répondez TVB, sinon répondez AID;52;Tour va bien, en plus l intervention n à pas eu lieu
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;24;5, bonne prise en charge
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00/61 du lundi au vendredi de 7h à 19h;75;Je vous remercie toutes et tous autant que vous êtes ,,,,,,,John Aitmansour
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;135;N'ai-je passé aucun examen à ma connaissance , il se pourrait qu'erreursoit effectuée de vote pour l'envoi des messages reçus.  Merci !
Pensez à récupérer les médicaments nécessaires à votre préparation pré opératoire ou votre prise en charge post opératoire. Pensez à réaliser les examens nécessaires à votre intervention (prise de sang, radio...);272;Pour une prise de sang Il me faut une ordonnance La derniere date de fin 2023 elle etait complette.Rien a signaler alors .juste un peu de sucre et mon entree dans la grille des clients destinés plus tard au club des purificateurs Si je peux suporter la fameuse dialyse....
Merci de votre retour. N'oubliez pas de continuer les traitement prescrits sur votre ordonnance. Si besoin contactez le service au 01.00.00.00.00 entre 8h et 18h30, après 18h30 appelez le cardiologue de garde;39;Merci et je vous souhaite bonne Journée
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;208;Bonjour à tous j essaye de répondre je ne suis pas trés douée et ne vais pas sur l ordinateur..note 5 toujours trés satisfaite de la prise en charge des services du chu John Mondor. Cordialement Bonne journée
Hopital Privé Parly 2: Dans le cadre du suivi de votre intervention, si tout va bien, répondez TVB;18;Tout va bien merci
Si vous avez pris le traitement anti douleur répondez PRIS sinon prenez le maintenant et renvoyez une évaluation de votre douleur dans 2h;49;Pris doliprane car je ne supporte pas le tramadol
